[-0.0004871779978275299, -0.05623780059814453, 1.4200000441633166e-7]	[0.026612800598144533, -0.04969079971313477, 6.670000148005784e-7]	[0.024223899841308596, -0.07512789916992188, 2.03699991106987e-6]
[-0.000747622013092041, -0.08934300231933594, 1.9030000548809768e-6]	[-0.0004871779978275299, -0.05623780059814453, 1.4200000441633166e-7]	[0.024223899841308596, -0.07512789916992188, 2.03699991106987e-6]
[-0.000747622013092041, -0.08934300231933594, 1.9030000548809768e-6]	[0.024223899841308596, -0.07512789916992188, 2.03699991106987e-6]	[0.023428800582885743, -0.1048820037841797, 1.7900000093504787e-6]
[-0.0008656299710273743, -0.11992800140380859, 2.096999902278185e-6]	[-0.000747622013092041, -0.08934300231933594, 1.9030000548809768e-6]	[0.023428800582885743, -0.1048820037841797, 1.7900000093504787e-6]
[-0.0008656299710273743, -0.11992800140380859, 2.096999902278185e-6]	[0.023428800582885743, -0.1048820037841797, 1.7900000093504787e-6]	[0.023245800018310548, -0.13505000305175782, 7.210000185295939e-7]
[-0.0004938080012798309, -0.150468994140625, 2.203000010922551e-6]	[-0.0008656299710273743, -0.11992800140380859, 2.096999902278185e-6]	[0.023245800018310548, -0.13505000305175782, 7.210000185295939e-7]
[-0.0004938080012798309, -0.150468994140625, 2.203000010922551e-6]	[0.023245800018310548, -0.13505000305175782, 7.210000185295939e-7]	[0.024338199615478517, -0.16563000488281251, 5.070000188425183e-7]
[0.0001690009981393814, -0.18174000549316408, 1.1149999918416143e-6]	[-0.0004938080012798309, -0.150468994140625, 2.203000010922551e-6]	[0.024338199615478517, -0.16563000488281251, 5.070000188425183e-7]
[0.0001690009981393814, -0.18174000549316408, 1.1149999918416143e-6]	[0.024338199615478517, -0.16563000488281251, 5.070000188425183e-7]	[0.025199800491333007, -0.1964320068359375, 1.4299999456852674e-6]
[0.0001690009981393814, -0.18174000549316408, 1.1149999918416143e-6]	[0.025199800491333007, -0.1964320068359375, 1.4299999456852674e-6]	[0.0007352359890937805, -0.21624099731445312, 1.5810000477358699e-6]
[0.01428559970855713, -0.29999700927734374, 2.4619998876005413e-6]	[-0.014284600257873535, -0.2999979858398438, 3.6929999478161336e-6]	[9.40299965441227e-6, -0.27417999267578125, 2.6149998884648085e-6]
[0.01428559970855713, -0.29999700927734374, 2.4619998876005413e-6]	[9.40299965441227e-6, -0.27417999267578125, 2.6149998884648085e-6]	[0.02968400001525879, -0.2736270141601563, 2.4199999461416157e-7]
[0.01428559970855713, -0.29999700927734374, 2.4619998876005413e-6]	[0.02968400001525879, -0.2736270141601563, 2.4199999461416157e-7]	[0.04285749816894531, -0.29999700927734374, 2.6549999602139e-6]
