[-0.0004871779978275299, -0.05623780059814453, 1.4200000441633166e-7]	[0.026612800598144533, -0.04969079971313477, 6.670000148005784e-7]	[0.024223899841308596, -0.07512789916992188, 2.03699991106987e-6]
[0.30000100708007815, 0.024998600006103516, 1.4380000066012145e-6]	[0.3, -6.409999914467335e-7, 0.02999920082092285]	[0.3, 1.4750000555068255e-6, 1.6439999453723432e-6]
[0.30000100708007815, 0.024998600006103516, 1.4380000066012145e-6]	[0.30000100708007815, 0.024999301910400392, 0.030000398635864258]	[0.3, -6.409999914467335e-7, 0.02999920082092285]
[0.30000100708007815, 0.024999301910400392, 0.030000398635864258]	[0.3, -1.1739999754354358e-6, 0.05999919891357422]	[0.3, -6.409999914467335e-7, 0.02999920082092285]
[0.30000100708007815, 0.024999301910400392, 0.030000398635864258]	[0.30000100708007815, 0.024998903274536133, 0.060000198364257816]	[0.3, -1.1739999754354358e-6, 0.05999919891357422]
[0.30000100708007815, 0.024998903274536133, 0.060000198364257816]	[0.2999989929199219, 5.890000029467046e-7, 0.08999949645996094]	[0.3, -1.1739999754354358e-6, 0.05999919891357422]
[0.30000100708007815, 0.024998903274536133, 0.060000198364257816]	[0.3, 0.024998207092285157, 0.08999849700927734]	[0.2999989929199219, 5.890000029467046e-7, 0.08999949645996094]
[0.3, 0.024998207092285157, 0.08999849700927734]	[0.30000100708007815, -1.4059999957680703e-6, 0.12]	[0.2999989929199219, 5.890000029467046e-7, 0.08999949645996094]
[0.3, 0.024998207092285157, 0.08999849700927734]	[0.30000100708007815, 0.02499781036376953, 0.1199990005493164]	[0.30000100708007815, -1.4059999957680703e-6, 0.12]
[0.30000100708007815, 0.02499781036376953, 0.1199990005493164]	[0.3, 5.159999709576368e-7, 0.15]	[0.30000100708007815, -1.4059999957680703e-6, 0.12]
[0.30000100708007815, 0.02499781036376953, 0.1199990005493164]	[0.30000100708007815, 0.024998710632324218, 0.15000100708007813]	[0.3, 5.159999709576368e-7, 0.15]
[0.30000100708007815, 0.024998710632324218, 0.15000100708007813]	[0.2999989929199219, 4.520000074990094e-7, 0.17999800109863281]	[0.3, 5.159999709576368e-7, 0.15]
[0.30000100708007815, 0.024998710632324218, 0.15000100708007813]	[0.3, 0.02499851417541504, 0.17999899291992189]	[0.2999989929199219, 4.520000074990094e-7, 0.17999800109863281]
[0.3, 0.02499851417541504, 0.17999899291992189]	[0.3, -6.37000019196421e-7, 0.21]	[0.2999989929199219, 4.520000074990094e-7, 0.17999800109863281]
[0.3, 0.02499851417541504, 0.17999899291992189]	[0.30000100708007815, 0.02499831581115723, 0.21000100708007813]	[0.3, -6.37000019196421e-7, 0.21]
[0.30000100708007815, 0.02499831581115723, 0.21000100708007813]	[0.2999989929199219, -1.5889999922364951e-6, 0.2399980010986328]	[0.3, -6.37000019196421e-7, 0.21]
[0.30000100708007815, 0.02499831581115723, 0.21000100708007813]	[0.30000100708007815, 0.02499921798706055, 0.24000100708007813]	[0.2999989929199219, -1.5889999922364951e-6, 0.2399980010986328]
[0.30000100708007815, 0.02499921798706055, 0.24000100708007813]	[0.3, -1.184999942779541e-6, 0.26999899291992185]	[0.2999989929199219, -1.5889999922364951e-6, 0.2399980010986328]
[0.30000100708007815, 0.02499921798706055, 0.24000100708007813]	[0.2999989929199219, 0.024999021530151367, 0.26999798583984375]	[0.3, -1.184999942779541e-6, 0.26999899291992185]
[0.2999989929199219, 0.024999021530151367, 0.26999798583984375]	[0.30000100708007815, -1.658999943174422e-6, 0.3]	[0.3, -1.184999942779541e-6, 0.26999899291992185]
[0.2999989929199219, 0.024999021530151367, 0.26999798583984375]	[0.2999989929199219, 0.024999122619628906, 0.2999979858398438]	[0.30000100708007815, -1.658999943174422e-6, 0.3]
[0.2999989929199219, 0.024999122619628906, 0.2999979858398438]	[0.2999989929199219, -1.5869999770075083e-6, 0.32999798583984374]	[0.30000100708007815, -1.658999943174422e-6, 0.3]
[0.2999989929199219, 0.024999122619628906, 0.2999979858398438]	[0.30000100708007815, 0.024997323989868165, 0.33]	[0.2999989929199219, -1.5869999770075083e-6, 0.32999798583984374]
[0.30000100708007815, 0.024997323989868165, 0.33]	[0.3, 5.150000215508044e-7, 0.36]	[0.2999989929199219, -1.5869999770075083e-6, 0.32999798583984374]
[0.30000100708007815, 0.024997323989868165, 0.33]	[0.3, 0.024998725891113283, 0.36]	[0.3, 5.150000215508044e-7, 0.36]
[0.3, 0.024998725891113283, 0.36]	[0.2999989929199219, -1.0519999777898193e-6, 0.38999798583984374]	[0.3, 5.150000215508044e-7, 0.36]
[0.3, 0.024998725891113283, 0.36]	[0.3, 0.02499782943725586, 0.38999798583984374]	[0.2999989929199219, -1.0519999777898193e-6, 0.38999798583984374]
[0.3, 0.02499782943725586, 0.38999798583984374]	[0.3, -1.0209999745711685e-6, 0.42]	[0.2999989929199219, -1.0519999777898193e-6, 0.38999798583984374]
[0.3, 0.02499782943725586, 0.38999798583984374]	[0.2999989929199219, 0.02500003242492676, 0.41999798583984377]	[0.3, -1.0209999745711685e-6, 0.42]
[0.2999989929199219, 0.02500003242492676, 0.41999798583984377]	[0.2999989929199219, -1.3040000339969992e-6, 0.44999700927734376]	[0.3, -1.0209999745711685e-6, 0.42]
[0.2999989929199219, 0.02500003242492676, 0.41999798583984377]	[0.3, 0.024999433517456055, 0.45]	[0.2999989929199219, -1.3040000339969992e-6, 0.44999700927734376]
[0.3, 0.024999433517456055, 0.45]	[0.3, -1.0699999984353781e-7, 0.4799989929199219]	[0.2999989929199219, -1.3040000339969992e-6, 0.44999700927734376]
[0.3, 0.024999433517456055, 0.45]	[0.3, 0.024998235702514648, 0.47999798583984377]	[0.3, -1.0699999984353781e-7, 0.4799989929199219]
[0.3, 0.024998235702514648, 0.47999798583984377]	[0.2999989929199219, -3.0920000281184913e-6, 0.5099970092773438]	[0.3, -1.0699999984353781e-7, 0.4799989929199219]
[0.3, 0.024998235702514648, 0.47999798583984377]	[0.2999989929199219, 0.024998138427734375, 0.5099970092773438]	[0.2999989929199219, -3.0920000281184913e-6, 0.5099970092773438]
[0.2999989929199219, 0.024998138427734375, 0.5099970092773438]	[0.2999989929199219, -6.469999789260328e-7, 0.5399970092773437]	[0.2999989929199219, -3.0920000281184913e-6, 0.5099970092773438]
[0.2999989929199219, 0.024998138427734375, 0.5099970092773438]	[0.2999989929199219, 0.024997339248657227, 0.5399970092773437]	[0.2999989929199219, -6.469999789260328e-7, 0.5399970092773437]
[0.2999989929199219, 0.024997339248657227, 0.5399970092773437]	[0.30000100708007815, -2.259999979287386e-6, 0.5699990234375]	[0.2999989929199219, -6.469999789260328e-7, 0.5399970092773437]
[0.2999989929199219, 0.024997339248657227, 0.5399970092773437]	[0.3, 0.024998043060302736, 0.5699990234375]	[0.30000100708007815, -2.259999979287386e-6, 0.5699990234375]
[0.3, 0.024998043060302736, 0.5699990234375]	[0.2999979858398438, -1.8889999482780695e-6, 0.5999959716796875]	[0.30000100708007815, -2.259999979287386e-6, 0.5699990234375]
