[-0.271427001953125, -1.4929999597370626e-6, 1.0779999429360033e-6]	[-0.29999700927734374, -4.4350000098347665e-6, 0.030001899719238282]	[-0.2999979858398438, -2.8589998837560415e-6, 7.939999923110009e-7]
[-0.271427001953125, -1.4929999597370626e-6, 1.0779999429360033e-6]	[-0.271427001953125, -3.082999959588051e-6, 0.03000079917907715]	[-0.29999700927734374, -4.4350000098347665e-6, 0.030001899719238282]
[-0.271427001953125, -3.082999959588051e-6, 0.03000079917907715]	[-0.29999600219726563, -4.495999775826931e-6, 0.060002899169921874]	[-0.29999700927734374, -4.4350000098347665e-6, 0.030001899719238282]
[-0.271427001953125, -3.082999959588051e-6, 0.03000079917907715]	[-0.27142800903320313, -1.2440000427886845e-6, 0.059999698638916014]	[-0.29999600219726563, -4.495999775826931e-6, 0.060002899169921874]
[-0.27142800903320313, -1.2440000427886845e-6, 0.059999698638916014]	[-0.2999979858398438, -4.257000051438808e-6, 0.09000009918212891]	[-0.29999600219726563, -4.495999775826931e-6, 0.060002899169921874]
[-0.27142800903320313, -1.2440000427886845e-6, 0.059999698638916014]	[-0.271427001953125, -1.5529999509453773e-6, 0.0900009994506836]	[-0.2999979858398438, -4.257000051438808e-6, 0.09000009918212891]
[-0.271427001953125, -1.5529999509453773e-6, 0.0900009994506836]	[-0.29999600219726563, -4.978999961167574e-6, 0.12000199890136719]	[-0.2999979858398438, -4.257000051438808e-6, 0.09000009918212891]
[-0.271427001953125, -1.5529999509453773e-6, 0.0900009994506836]	[-0.271427001953125, -9.319999953731895e-7, 0.12000199890136719]	[-0.29999600219726563, -4.978999961167574e-6, 0.12000199890136719]
[-0.271427001953125, -9.319999953731895e-7, 0.12000199890136719]	[-0.29999700927734374, -3.3650000113993884e-6, 0.1500030059814453]	[-0.29999600219726563, -4.978999961167574e-6, 0.12000199890136719]
[-0.271427001953125, -9.319999953731895e-7, 0.12000199890136719]	[-0.2714289855957031, -5.370000144466758e-7, 0.15]	[-0.29999700927734374, -3.3650000113993884e-6, 0.1500030059814453]
[-0.2714289855957031, -5.370000144466758e-7, 0.15]	[-0.29999700927734374, -5.061000119894743e-6, 0.1800019989013672]	[-0.29999700927734374, -3.3650000113993884e-6, 0.1500030059814453]
[-0.2714289855957031, -5.370000144466758e-7, 0.15]	[-0.271427001953125, -1.683000009506941e-6, 0.1800019989013672]	[-0.29999700927734374, -5.061000119894743e-6, 0.1800019989013672]
[-0.271427001953125, -1.683000009506941e-6, 0.1800019989013672]	[-0.3, -2.133999951183796e-6, 0.20999899291992188]	[-0.29999700927734374, -5.061000119894743e-6, 0.1800019989013672]
[-0.271427001953125, -1.683000009506941e-6, 0.1800019989013672]	[-0.27142800903320313, -9.740000241436064e-7, 0.21]	[-0.3, -2.133999951183796e-6, 0.20999899291992188]
[-0.27142800903320313, -9.740000241436064e-7, 0.21]	[-0.29999700927734374, -4.867999814450741e-6, 0.24000100708007813]	[-0.3, -2.133999951183796e-6, 0.20999899291992188]
[-0.27142800903320313, -9.740000241436064e-7, 0.21]	[-0.27142599487304686, -4.170000087469816e-6, 0.24000100708007813]	[-0.29999700927734374, -4.867999814450741e-6, 0.24000100708007813]
[-0.27142599487304686, -4.170000087469816e-6, 0.24000100708007813]	[-0.2999979858398438, -5.1790000870823865e-6, 0.27]	[-0.29999700927734374, -4.867999814450741e-6, 0.24000100708007813]
[-0.27142599487304686, -4.170000087469816e-6, 0.24000100708007813]	[-0.271427001953125, -3.3009999897331e-6, 0.27]	[-0.2999979858398438, -5.1790000870823865e-6, 0.27]
[-0.271427001953125, -3.3009999897331e-6, 0.27]	[-0.29999700927734374, -4.137000069022178e-6, 0.30000100708007815]	[-0.2999979858398438, -5.1790000870823865e-6, 0.27]
[-0.271427001953125, -3.3009999897331e-6, 0.27]	[-0.27142800903320313, -3.957999870181084e-6, 0.2999979858398438]	[-0.29999700927734374, -4.137000069022178e-6, 0.30000100708007815]
[-0.27142800903320313, -3.957999870181084e-6, 0.2999979858398438]	[-0.3, -2.730000065639615e-6, 0.3299989929199219]	[-0.29999700927734374, -4.137000069022178e-6, 0.30000100708007815]
[-0.27142800903320313, -3.957999870181084e-6, 0.2999979858398438]	[-0.27142800903320313, -2.7199999894946813e-6, 0.3299989929199219]	[-0.3, -2.730000065639615e-6, 0.3299989929199219]
[-0.27142800903320313, -2.7199999894946813e-6, 0.3299989929199219]	[-0.3, -2.044999971985817e-6, 0.3599989929199219]	[-0.3, -2.730000065639615e-6, 0.3299989929199219]
[-0.27142800903320313, -2.7199999894946813e-6, 0.3299989929199219]	[-0.271427001953125, -5.218000151216984e-6, 0.35999798583984377]	[-0.3, -2.044999971985817e-6, 0.3599989929199219]
[-0.271427001953125, -5.218000151216984e-6, 0.35999798583984377]	[-0.2999989929199219, -3.0690000858157876e-6, 0.3899989929199219]	[-0.3, -2.044999971985817e-6, 0.3599989929199219]
[-0.271427001953125, -5.218000151216984e-6, 0.35999798583984377]	[-0.271427001953125, -3.2430000137537717e-6, 0.39]	[-0.2999989929199219, -3.0690000858157876e-6, 0.3899989929199219]
[-0.271427001953125, -3.2430000137537717e-6, 0.39]	[-0.2999989929199219, -2.070999937132001e-6, 0.42]	[-0.2999989929199219, -3.0690000858157876e-6, 0.3899989929199219]
[-0.271427001953125, -3.2430000137537717e-6, 0.39]	[-0.27142599487304686, -2.4099999573081734e-6, 0.42000201416015626]	[-0.2999989929199219, -2.070999937132001e-6, 0.42]
[-0.27142599487304686, -2.4099999573081734e-6, 0.42000201416015626]	[-0.2999989929199219, -4.790999926626683e-6, 0.44999798583984374]	[-0.2999989929199219, -2.070999937132001e-6, 0.42]
[-0.27142599487304686, -2.4099999573081734e-6, 0.42000201416015626]	[-0.27142800903320313, -3.7150001153349877e-6, 0.44999798583984374]	[-0.2999989929199219, -4.790999926626683e-6, 0.44999798583984374]
[-0.27142800903320313, -3.7150001153349877e-6, 0.44999798583984374]	[-0.3, -2.583000110462308e-6, 0.47999700927734373]	[-0.2999989929199219, -4.790999926626683e-6, 0.44999798583984374]
[-0.27142800903320313, -3.7150001153349877e-6, 0.44999798583984374]	[-0.271427001953125, -3.495000069960952e-6, 0.48]	[-0.3, -2.583000110462308e-6, 0.47999700927734373]
[-0.271427001953125, -3.495000069960952e-6, 0.48]	[-0.29999700927734374, -6.047000177204609e-6, 0.5100010070800781]	[-0.3, -2.583000110462308e-6, 0.47999700927734373]
[-0.271427001953125, -3.495000069960952e-6, 0.48]	[-0.2714289855957031, -2.597999991849065e-6, 0.5099979858398438]	[-0.29999700927734374, -6.047000177204609e-6, 0.5100010070800781]
[-0.2714289855957031, -2.597999991849065e-6, 0.5099979858398438]	[-0.2999989929199219, -1.4969999901950359e-6, 0.54]	[-0.29999700927734374, -6.047000177204609e-6, 0.5100010070800781]
[-0.2714289855957031, -2.597999991849065e-6, 0.5099979858398438]	[-0.27142800903320313, -2.056000055745244e-6, 0.5399990234375001]	[-0.2999989929199219, -1.4969999901950359e-6, 0.54]
[-0.27142800903320313, -2.056000055745244e-6, 0.5399990234375001]	[-0.2999979858398438, -4.474999848753214e-6, 0.5700009765625]	[-0.2999989929199219, -1.4969999901950359e-6, 0.54]
